dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.804356,7.422191,0.037500,0.375000,1.875000,9.375000,5.755327
0.200000,6.900597,7.363945,0.150000,0.750000,1.875000,0.000000,5.721227
0.200000,7.055390,7.258227,0.337500,1.125000,1.875000,0.000000,5.640401
0.200000,7.248903,7.081686,0.600000,1.500000,1.875000,0.000000,5.411639
0.200000,7.353248,6.809355,0.900000,1.500000,0.000000,-9.375000,4.602142
0.200000,7.202402,6.557325,1.200000,1.500000,0.000000,0.000000,3.893483
0.200000,6.963029,6.377090,1.500000,1.500000,0.000000,0.000000,3.721476
0.200000,6.709890,6.216098,1.800000,1.500000,0.000000,0.000000,3.715049
0.200000,6.462272,6.048743,2.100000,1.500000,0.000000,0.000000,3.566887
0.200000,6.177436,6.090675,2.400000,1.500000,0.000000,0.000000,2.653915
0.200000,5.899316,6.185326,2.700000,1.500000,0.000000,0.000000,2.977388
0.200000,5.603632,6.236019,3.000000,1.500000,0.000000,0.000000,2.965892
0.200000,5.308602,6.290391,3.300000,1.500000,0.000000,0.000000,2.952478
0.200000,5.014386,6.348998,3.600000,1.500000,0.000000,0.000000,2.937132
0.200000,4.721165,6.412399,3.900000,1.500000,0.000000,0.000000,2.919846
0.200000,4.429152,6.481141,4.200000,1.500000,0.000000,0.000000,2.900618
0.200000,4.138587,6.555766,4.500000,1.500000,0.000000,0.000000,2.879459
0.200000,3.849745,6.636798,4.800000,1.500000,0.000000,0.000000,2.856392
0.200000,3.562932,6.724739,5.100000,1.500000,0.000000,0.000000,2.831459
0.200000,3.278488,6.820060,5.400000,1.500000,0.000000,0.000000,2.804723
0.200000,2.996785,6.923196,5.700000,1.500000,0.000000,0.000000,2.776269
0.200000,2.718221,7.034530,6.000000,1.500000,0.000000,0.000000,2.746213
0.200000,2.444508,7.150604,6.300000,1.500000,0.000000,0.000000,2.750129
0.200000,2.165339,7.260405,6.600000,1.500000,0.000000,0.000000,2.784183
0.200000,1.882422,7.360141,6.900000,1.500000,0.000000,0.000000,2.821738
0.200000,1.595808,7.448683,7.200000,1.500000,0.000000,0.000000,2.862768
0.200000,1.305678,7.524903,7.500000,1.500000,0.000000,0.000000,2.907157
0.200000,1.012354,7.587705,7.800000,1.500000,0.000000,0.000000,2.954679
0.200000,0.716312,7.636081,8.100000,1.500000,0.000000,0.000000,3.004984
0.200000,0.443395,7.666970,8.374686,1.246860,-1.265702,-6.328509,3.053081
0.200000,0.232047,7.681684,8.586558,0.871860,-1.875000,-3.046491,3.091217
0.200000,0.095277,7.686870,8.723430,0.496860,-1.875000,0.000000,3.116214
0.200000,0.033418,7.688088,8.785302,0.121860,-1.875000,0.000000,3.127585
0.200000,0.021233,7.688245,8.797488,0.000000,-0.609298,6.328509,3.129828
0.200000,0.021233,7.688245,8.797488,0.000000,0.000000,3.046491,3.129828
