dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.942293,4.090375,0.037500,0.375000,1.875000,9.375000,3.150433
0.200000,4.841495,4.087746,0.138332,0.504158,0.645791,-6.146043,3.185775
0.200000,4.677920,4.074957,0.302406,0.820370,1.581059,4.676337,3.256651
0.200000,4.463078,4.036499,0.520663,1.091287,1.354587,-1.132359,3.390233
0.200000,4.250663,3.958857,0.746823,1.130801,0.197569,-5.785089,3.612579
0.200000,4.087142,3.843607,0.946878,1.000272,-0.652645,-4.251072,3.913127
0.200000,3.968950,3.684743,1.144886,0.990040,-0.051159,3.007428,4.219795
0.200000,3.887627,3.474574,1.370240,1.126769,0.683644,3.674019,4.444559
0.200000,3.838523,3.223633,1.625940,1.278499,0.758648,0.375020,4.578229
0.200000,3.811908,2.946867,1.903982,1.390212,0.558564,-1.000420,4.644614
0.200000,3.795395,2.652476,2.198837,1.474272,0.420303,-0.691307,4.660197
0.200000,3.775587,2.342825,2.509120,1.551419,0.385734,-0.172844,4.628995
0.200000,3.735763,2.016970,2.837399,1.641395,0.449880,0.320732,4.542993
0.200000,3.650631,1.674602,3.190193,1.763967,0.612856,0.814877,4.381853
0.200000,3.482922,1.329666,3.573739,1.917730,0.768815,0.779796,4.125471
0.200000,3.223680,1.043301,3.960017,1.931393,0.068317,-3.502489,3.848941
0.200000,2.952419,0.838362,4.299992,1.699872,-1.157607,-6.129620,3.727168
0.200000,2.656864,0.668014,4.641124,1.705662,0.028954,5.932803,3.601845
0.200000,2.344185,0.535993,4.980532,1.697039,-0.043115,-0.360347,3.481808
0.200000,2.022696,0.441587,5.315595,1.675316,-0.108615,-0.327499,3.375072
0.200000,1.699399,0.380161,5.644676,1.645404,-0.149563,-0.204737,3.286623
0.200000,1.378814,0.344991,5.967185,1.612545,-0.164293,-0.073650,3.218223
0.200000,1.063198,0.328950,6.283208,1.580113,-0.162161,0.010659,3.169575
0.200000,0.753343,0.325374,6.593083,1.549379,-0.153670,0.042453,3.139613
0.200000,0.467739,0.328013,6.878700,1.428085,-0.606473,-2.264012,3.127612
0.200000,0.242394,0.331194,7.104068,1.126837,-1.506236,-4.498817,3.128974
0.200000,0.093681,0.332653,7.252788,0.743601,-1.916184,-2.049739,3.135326
0.200000,0.019468,0.332945,7.327001,0.371065,-1.862680,0.267520,3.140186
0.200000,0.000774,0.332958,7.345695,0.093471,-1.387966,2.373571,3.141593
0.200000,0.000774,0.332958,7.345695,0.000000,-0.467357,4.603042,3.141593
