dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.939375,4.420362,0.037500,0.375000,1.875000,9.375000,3.150433
0.200000,4.826920,4.417424,0.150000,0.750000,1.875000,0.000000,3.185775
0.200000,4.640035,4.402775,0.337500,1.125000,1.875000,0.000000,3.256651
0.200000,4.381869,4.356351,0.600000,1.500000,1.875000,0.000000,3.390233
0.200000,4.100920,4.252927,0.900000,1.500000,0.000000,-9.375000,3.612579
0.200000,3.857054,4.080165,1.200000,1.500000,0.000000,0.000000,3.913127
0.200000,3.678184,3.840804,1.500000,1.500000,0.000000,0.000000,4.219795
0.200000,3.569392,3.561905,1.800000,1.500000,0.000000,0.000000,4.444559
0.200000,3.511489,3.267773,2.100000,1.500000,0.000000,0.000000,4.578229
0.200000,3.482666,2.969216,2.400000,1.500000,0.000000,0.000000,4.644614
0.200000,3.465845,2.669691,2.700000,1.500000,0.000000,0.000000,4.660197
0.200000,3.446734,2.370313,3.000000,1.500000,0.000000,0.000000,4.628995
0.200000,3.410486,2.072604,3.300000,1.500000,0.000000,0.000000,4.542993
0.200000,3.338494,1.781704,3.600000,1.500000,0.000000,0.000000,4.381853
0.200000,3.208147,1.512419,3.900000,1.500000,0.000000,0.000000,4.125471
0.200000,3.009240,1.294130,4.200000,1.500000,0.000000,0.000000,3.848941
0.200000,2.770035,1.113382,4.500000,1.500000,0.000000,0.000000,3.727168
0.200000,2.510287,0.963674,4.800000,1.500000,0.000000,0.000000,3.601845
0.200000,2.234067,0.847078,5.100000,1.500000,0.000000,0.000000,3.481808
0.200000,1.946346,0.762634,5.400000,1.500000,0.000000,0.000000,3.375072
0.200000,1.651707,0.706697,5.700000,1.500000,0.000000,0.000000,3.286623
0.200000,1.353550,0.674023,6.000000,1.500000,0.000000,0.000000,3.218223
0.200000,1.053966,0.658821,6.300000,1.500000,0.000000,0.000000,3.169575
0.200000,0.753997,0.655374,6.600000,1.500000,0.000000,0.000000,3.139613
0.200000,0.472352,0.657981,6.881658,1.316584,-0.917080,-4.585402,3.127612
0.200000,0.246558,0.661167,7.107475,0.941584,-1.875000,-4.789598,3.128974
0.200000,0.095748,0.662647,7.258292,0.566584,-1.875000,0.000000,3.135326
0.200000,0.019932,0.662945,7.334109,0.191584,-1.875000,0.000000,3.140186
0.200000,0.000774,0.662958,7.353267,0.000000,-0.957920,4.585402,3.141593
0.200000,0.000774,0.662958,7.353267,0.000000,0.000000,4.789598,3.141593
