dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.936458,4.750349,0.037500,0.375000,1.875000,9.375000,3.150433
0.200000,4.812345,4.747102,0.161656,0.620781,1.228905,-3.230477,3.185775
0.200000,4.602150,4.730593,0.372499,1.054212,2.167155,4.691252,3.256651
0.200000,4.300661,4.676203,0.678854,1.531778,2.387830,1.103376,3.390233
0.200000,3.951177,4.546997,1.051457,1.863014,1.656179,-3.658256,3.612579
0.200000,3.626966,4.316722,1.449124,1.988337,0.626618,-5.147807,3.913127
0.200000,3.387418,3.996865,1.848740,1.998076,0.048694,-2.889618,4.219795
0.200000,3.251157,3.649236,2.222120,1.866903,-0.655865,-3.522794,4.444559
0.200000,3.184454,3.311913,2.565975,1.719272,-0.738154,-0.411443,4.578229
0.200000,3.153423,2.991565,2.887822,1.609237,-0.550175,0.939893,4.644614
0.200000,3.136294,2.686907,3.192961,1.525696,-0.417708,0.662332,4.660197
0.200000,3.117880,2.397801,3.482653,1.448458,-0.386187,0.157605,4.628995
0.200000,3.085209,2.128237,3.754189,1.357682,-0.453882,-0.338475,4.542993
0.200000,3.026358,1.888806,4.000748,1.232792,-0.624450,-0.852839,4.381853
0.200000,2.933372,1.695172,4.215550,1.074015,-0.793885,-0.847175,4.125471
0.200000,2.794799,1.544959,4.419919,1.021842,-0.260863,2.665110,3.848941
0.200000,2.587651,1.388402,4.679573,1.298270,1.382140,8.215015,3.727168
0.200000,2.363709,1.259334,4.938046,1.292368,-0.029513,-7.058265,3.601845
0.200000,2.123950,1.158163,5.198277,1.301155,0.043938,0.367257,3.481808
0.200000,1.869996,1.083680,5.462929,1.323256,0.110505,0.332834,3.375072
0.200000,1.604015,1.033232,5.733652,1.353617,0.151802,0.206483,3.286623
0.200000,1.328287,1.003055,6.011026,1.386869,0.166264,0.072309,3.218223
0.200000,1.044733,0.988692,6.294944,1.419590,0.163606,-0.013289,3.169575
0.200000,0.754650,0.985373,6.585046,1.450508,0.154590,-0.045080,3.139613
0.200000,0.476965,0.987949,6.862742,1.388482,-0.310131,-2.323604,3.127612
0.200000,0.250722,0.991141,7.089008,1.131330,-1.285759,-4.878143,3.128974
0.200000,0.097816,0.992640,7.241921,0.764565,-1.833828,-2.740340,3.135326
0.200000,0.020396,0.992944,7.319342,0.387102,-1.887312,-0.267424,3.140186
0.200000,0.000774,0.992958,7.338964,0.098112,-1.444950,2.211813,3.141593
0.200000,0.000774,0.992958,7.338964,0.000000,-0.490562,4.771937,3.141593
