dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.930643,4.090848,0.037500,0.375000,1.875000,9.375000,3.123612
0.200000,4.796030,4.097718,0.172288,0.673942,1.494709,-1.901456,3.055994
0.200000,4.564890,4.133506,0.406183,1.169474,2.477664,4.914775,2.914811
0.200000,4.238058,4.254308,0.754626,1.742212,2.863687,1.930117,2.651301
0.200000,3.914473,4.506248,1.164724,2.050494,1.541412,-6.611375,2.311599
0.200000,3.696493,4.821678,1.548145,1.917100,-0.666970,-11.041910,2.055603
0.200000,3.559464,5.137730,1.892624,1.722398,-0.973512,-1.532712,1.920010
0.200000,3.460224,5.434799,2.205830,1.566031,-0.781833,0.958394,1.879923
0.200000,3.369461,5.705762,2.491591,1.428801,-0.686151,0.478414,1.923005
0.200000,3.268050,5.938400,2.745372,1.268908,-0.799467,-0.566583,2.062443
0.200000,3.146204,6.113728,2.958881,1.067543,-1.006822,-1.036775,2.322708
0.200000,2.963979,6.261858,3.193719,1.174190,0.533232,7.700271,2.508006
0.200000,2.731771,6.423439,3.476612,1.414465,1.201377,3.340725,2.559750
0.200000,2.491995,6.572102,3.758735,1.410617,-0.019239,-6.103080,2.613817
0.200000,2.244975,6.707019,4.040198,1.407313,-0.016519,0.013600,2.669879
0.200000,1.991152,6.827452,4.321143,1.404726,-0.012939,0.017900,2.727503
0.200000,1.731073,6.932788,4.601744,1.403003,-0.008613,0.021629,2.786167
0.200000,1.465383,7.022573,4.882194,1.402253,-0.003752,0.024306,2.845284
0.200000,1.194802,7.096524,5.162699,1.402523,0.001351,0.025515,2.904237
0.200000,0.920104,7.154548,5.443458,1.403796,0.006367,0.025079,2.962422
0.200000,0.642089,7.196736,5.724656,1.405992,0.010977,0.023050,3.019282
0.200000,0.386882,7.221587,5.981070,1.282067,-0.619625,-3.153011,3.069469
0.200000,0.190927,7.232072,6.177305,0.981179,-1.504440,-4.424073,3.106611
0.200000,0.065112,7.235010,6.303155,0.629246,-1.759664,-1.276118,3.129798
0.200000,0.009912,7.235384,6.358356,0.276005,-1.766206,-0.032710,3.139806
0.200000,0.000000,7.235393,6.368268,0.049562,-1.132213,3.169961,3.141593
0.200000,0.000000,7.235393,6.368268,0.000000,-0.247811,4.422013,3.141593
