dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.936577,4.420795,0.037500,0.375000,1.875000,9.375000,3.123612
0.200000,4.824243,4.426510,0.150000,0.750000,1.875000,0.000000,3.055994
0.200000,4.639088,4.455057,0.337500,1.125000,1.875000,0.000000,2.914811
0.200000,4.393449,4.545433,0.600000,1.500000,1.875000,0.000000,2.651301
0.200000,4.157989,4.728959,0.900000,1.500000,0.000000,-9.375000,2.311599
0.200000,3.988465,4.975470,1.200000,1.500000,0.000000,0.000000,2.055603
0.200000,3.869546,5.250643,1.500000,1.500000,0.000000,0.000000,1.920010
0.200000,3.774582,5.535194,1.800000,1.500000,0.000000,0.000000,1.879923
0.200000,3.679203,5.819602,2.100000,1.500000,0.000000,0.000000,1.923005
0.200000,3.558963,6.094186,2.400000,1.500000,0.000000,0.000000,2.062443
0.200000,3.387231,6.339130,2.700000,1.500000,0.000000,0.000000,2.322708
0.200000,3.159352,6.527808,3.000000,1.500000,0.000000,0.000000,2.508006
0.200000,2.913128,6.699138,3.300000,1.500000,0.000000,0.000000,2.559750
0.200000,2.658187,6.857199,3.600000,1.500000,0.000000,0.000000,2.613817
0.200000,2.394932,7.000980,3.900000,1.500000,0.000000,0.000000,2.669879
0.200000,2.123930,7.129561,4.200000,1.500000,0.000000,0.000000,2.727503
0.200000,1.845910,7.242163,4.500000,1.500000,0.000000,0.000000,2.786167
0.200000,1.561741,7.338191,4.800000,1.500000,0.000000,0.000000,2.845284
0.200000,1.272396,7.417272,5.100000,1.500000,0.000000,0.000000,2.904237
0.200000,0.978915,7.479265,5.400000,1.500000,0.000000,0.000000,2.962422
0.200000,0.682351,7.524271,5.700000,1.500000,0.000000,0.000000,3.019282
0.200000,0.410663,7.550729,5.973002,1.230019,-1.349904,-6.749521,3.069469
0.200000,0.202469,7.561870,6.181506,0.855019,-1.875000,-2.625479,3.106611
0.200000,0.069004,7.564987,6.315010,0.480019,-1.875000,0.000000,3.129798
0.200000,0.010502,7.565384,6.373513,0.105019,-1.875000,0.000000,3.139806
0.200000,0.000000,7.565393,6.384015,0.000000,-0.525096,6.749521,3.141593
0.200000,0.000000,7.565393,6.384015,0.000000,0.000000,2.625479,3.141593
