dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.887728,3.477637,0.037500,0.375000,1.875000,9.375000,3.157363
0.200000,4.794593,3.473516,0.130726,0.466130,0.455648,-7.096762,3.215729
0.200000,4.646230,3.454259,0.280334,0.748040,1.409551,4.769519,3.330305
0.200000,4.456977,3.399238,0.477423,0.985443,1.187018,-1.112669,3.527547
0.200000,4.269260,3.293599,0.692823,1.077004,0.457805,-3.646062,3.782118
0.200000,4.106664,3.138895,0.917258,1.122172,0.225836,-1.159847,4.009624
0.200000,3.963992,2.937161,1.164344,1.235432,0.566301,1.702324,4.169174
0.200000,3.836403,2.699159,1.434389,1.350222,0.573954,0.038267,4.259670
0.200000,3.715295,2.436409,1.723706,1.446586,0.481817,-0.460685,4.292003
0.200000,3.588482,2.157146,2.030414,1.533540,0.434770,-0.235236,4.271658
0.200000,3.439954,1.867865,2.355597,1.625914,0.461873,0.135518,4.195103
0.200000,3.248727,1.578340,2.702573,1.734881,0.544835,0.414806,4.051847
0.200000,2.992985,1.311018,3.072525,1.849762,0.574405,0.147852,3.837711
0.200000,2.736294,1.113992,3.396114,1.617944,-1.159094,-8.667493,3.756450
0.200000,2.461772,0.936469,3.723034,1.634600,0.083281,6.211872,3.674598
0.200000,2.173559,0.782029,4.050017,1.634917,0.001588,-0.408465,3.592551
0.200000,1.874308,0.651739,4.376402,1.631924,-0.014965,-0.082763,3.512331
0.200000,1.566888,0.545715,4.701592,1.625947,-0.029885,-0.074599,3.435759
0.200000,1.254061,0.463175,5.025124,1.617663,-0.041423,-0.057690,3.364239
0.200000,0.938230,0.402638,5.346704,1.607901,-0.048811,-0.036943,3.298670
0.200000,0.622741,0.362322,5.664759,1.590273,-0.088139,-0.196640,3.239719
0.200000,0.348519,0.341801,5.939748,1.374945,-1.076640,-4.942503,3.193599
0.200000,0.153978,0.334630,6.134421,0.973365,-2.007898,-4.656293,3.163640
0.200000,0.038680,0.333059,6.249730,0.576545,-1.984101,0.118986,3.146924
0.200000,0.000774,0.332958,6.287636,0.189531,-1.935070,0.245155,3.141593
0.200000,0.000774,0.332958,6.287636,0.000000,-0.947655,4.937074,3.141593
