dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.882524,3.807596,0.037500,0.375000,1.875000,9.375000,3.157363
0.200000,4.770151,3.802610,0.150000,0.750000,1.875000,0.000000,3.215729
0.200000,4.584324,3.778401,0.337500,1.125000,1.875000,0.000000,3.330305
0.200000,4.332751,3.704963,0.600000,1.500000,1.875000,0.000000,3.527547
0.200000,4.072046,3.558187,0.900000,1.500000,0.000000,-9.375000,3.782118
0.200000,3.854854,3.352184,1.200000,1.500000,0.000000,0.000000,4.009624
0.200000,3.681495,3.107735,1.500000,1.500000,0.000000,0.000000,4.169174
0.200000,3.539647,2.843505,1.800000,1.500000,0.000000,0.000000,4.259670
0.200000,3.414028,2.571087,2.100000,1.500000,0.000000,0.000000,4.292003
0.200000,3.290017,2.297924,2.400000,1.500000,0.000000,0.000000,4.271658
0.200000,3.153130,2.031057,2.700000,1.500000,0.000000,0.000000,4.195103
0.200000,2.988140,1.780809,3.000000,1.500000,0.000000,0.000000,4.051847
0.200000,2.781375,1.564239,3.300000,1.500000,0.000000,0.000000,3.837711
0.200000,2.545936,1.383554,3.600000,1.500000,0.000000,0.000000,3.756450
0.200000,2.294091,1.220693,3.900000,1.500000,0.000000,0.000000,3.674598
0.200000,2.029736,1.079039,4.200000,1.500000,0.000000,0.000000,3.592551
0.200000,1.754747,0.959319,4.500000,1.500000,0.000000,0.000000,3.512331
0.200000,1.471207,0.861539,4.800000,1.500000,0.000000,0.000000,3.435759
0.200000,1.181194,0.785029,5.100000,1.500000,0.000000,0.000000,3.364239
0.200000,0.886608,0.728576,5.400000,1.500000,0.000000,0.000000,3.298670
0.200000,0.590412,0.690734,5.698647,1.486469,-0.067653,-0.338266,3.239719
0.200000,0.331365,0.671355,5.958441,1.111469,-1.875000,-9.036734,3.193599
0.200000,0.146703,0.664550,6.143235,0.736469,-1.875000,0.000000,3.163640
0.200000,0.036921,0.663054,6.253029,0.361469,-1.875000,0.000000,3.146924
0.200000,0.000774,0.662958,6.289175,0.000000,-1.807347,0.338266,3.141593
0.200000,0.000774,0.662958,6.289175,0.000000,0.000000,9.036734,3.141593
