dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.877320,4.137555,0.037500,0.375000,1.875000,9.375000,3.157363
0.200000,4.745708,4.131703,0.169242,0.658709,1.418546,-2.282268,3.215729
0.200000,4.522418,4.102542,0.394428,1.125931,2.336109,4.587814,3.330305
0.200000,4.208525,4.010688,0.721485,1.635284,2.546765,1.053277,3.527547
0.200000,3.874833,3.822775,1.104449,1.914822,1.397689,-5.745380,3.782118
0.200000,3.603045,3.565473,1.478712,1.871315,-0.217535,-8.076116,4.009624
0.200000,3.398998,3.278309,1.830988,1.761379,-0.549677,-1.660713,4.169174
0.200000,3.242891,2.987851,2.160738,1.648751,-0.563143,-0.067329,4.259670
0.200000,3.112761,2.705764,2.471394,1.553279,-0.477358,0.428924,4.292003
0.200000,2.991552,2.438702,2.764675,1.466404,-0.434376,0.214910,4.271658
0.200000,2.866305,2.194250,3.039345,1.373350,-0.465272,-0.154477,4.195103
0.200000,2.727552,1.983279,3.291855,1.262549,-0.554004,-0.443662,4.051847
0.200000,2.569764,1.817460,3.520749,1.144474,-0.590376,-0.181862,3.837711
0.200000,2.355578,1.653117,3.790721,1.349856,1.026913,8.086449,3.756450
0.200000,2.126410,1.504917,4.063633,1.364562,0.073527,-4.766934,3.674598
0.200000,1.885913,1.376049,4.336481,1.364240,-0.001607,-0.375670,3.592551
0.200000,1.635187,1.266899,4.609935,1.367270,0.015151,0.083792,3.512331
0.200000,1.375526,1.177364,4.884599,1.373319,0.030244,0.075463,3.435759
0.200000,1.108326,1.106884,5.160938,1.381697,0.041891,0.058235,3.364239
0.200000,0.834985,1.054513,5.439251,1.391562,0.049322,0.037158,3.298670
0.200000,0.558082,1.019147,5.718403,1.395764,0.021013,-0.141547,3.239719
0.200000,0.314210,1.000909,5.962956,1.222763,-0.865004,-4.430084,3.193599
0.200000,0.139428,0.994470,6.137857,0.874504,-1.741294,-4.381450,3.163640
0.200000,0.035161,0.993050,6.242133,0.521381,-1.765617,-0.121615,3.146924
0.200000,0.000774,0.992958,6.276521,0.171938,-1.747213,0.092019,3.141593
0.200000,0.000774,0.992958,6.276521,0.000000,-0.859691,4.437611,3.141593
