dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.879940,3.478063,0.037500,0.375000,1.875000,9.375000,3.129839
0.200000,4.752480,3.482408,0.165034,0.637668,1.313338,-2.808310,3.084247
0.200000,4.535826,3.504531,0.382815,1.088906,2.256191,4.714265,2.992254
0.200000,4.225498,3.577663,0.701643,1.594141,2.526175,1.349921,2.820368
0.200000,3.877457,3.745631,1.088096,1.932264,1.690613,-4.177809,2.554923
0.200000,3.583670,4.011532,1.484346,1.981253,0.244949,-7.228322,2.258814
0.200000,3.381969,4.331867,1.862893,1.892734,-0.442595,-3.437719,2.017997
0.200000,3.257062,4.658824,2.212897,1.750020,-0.713573,-1.354893,1.865437
0.200000,3.176327,4.974661,2.538889,1.629960,-0.600299,0.566373,1.786415
0.200000,3.115175,5.275781,2.846156,1.536333,-0.468133,0.660830,1.764375
0.200000,3.056424,5.559955,3.136339,1.450918,-0.427076,0.205281,1.794088
0.200000,2.986456,5.821474,3.407056,1.353583,-0.486674,-0.297989,1.882559
0.200000,2.894245,6.048770,3.652345,1.226444,-0.635694,-0.745100,2.047511
0.200000,2.773391,6.227813,3.868359,1.080072,-0.731864,-0.480851,2.300257
0.200000,2.598429,6.376434,4.097923,1.147820,0.338740,5.353024,2.502511
0.200000,2.368582,6.536962,4.378278,1.401774,1.269770,4.655149,2.561917
0.200000,2.130219,6.682693,4.657661,1.396914,-0.024301,-6.470355,2.624256
0.200000,1.883780,6.812610,4.936247,1.392933,-0.019901,0.022000,2.688998
0.200000,1.629863,6.925847,5.214270,1.390112,-0.014109,0.028960,2.755442
0.200000,1.369210,7.021742,5.492003,1.388667,-0.007221,0.034438,2.822757
0.200000,1.102682,7.099871,5.769747,1.388720,0.000262,0.037417,2.890040
0.200000,0.831225,7.160077,6.047800,1.390265,0.007724,0.037307,2.956392
0.200000,0.556275,7.202409,6.325990,1.390950,0.003428,-0.021478,3.020887
0.200000,0.313756,7.225114,6.569569,1.217896,-0.865268,-4.343482,3.075231
0.200000,0.139770,7.233392,6.743751,0.870911,-1.734927,-4.348292,3.112657
0.200000,0.035440,7.235270,6.848098,0.521735,-1.745880,-0.054766,3.134457
0.200000,0.000774,7.235393,6.882765,0.173333,-1.742008,0.019361,3.141593
0.200000,0.000774,7.235393,6.882765,0.000000,-0.866667,4.376706,3.141593
