dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.883818,3.808040,0.037500,0.375000,1.875000,9.375000,3.129839
0.200000,4.771394,3.811866,0.150000,0.750000,1.875000,0.000000,3.084247
0.200000,4.584924,3.830858,0.337500,1.125000,1.875000,0.000000,2.992254
0.200000,4.329688,3.890783,0.600000,1.500000,1.875000,0.000000,2.820368
0.200000,4.060142,4.020451,0.900000,1.500000,0.000000,-9.375000,2.554923
0.200000,3.838597,4.221085,1.200000,1.500000,0.000000,0.000000,2.258814
0.200000,3.679517,4.474574,1.500000,1.500000,0.000000,0.000000,2.017997
0.200000,3.572841,4.754655,1.800000,1.500000,0.000000,0.000000,1.865437
0.200000,3.498686,5.045265,2.100000,1.500000,0.000000,0.000000,1.786415
0.200000,3.439011,5.339264,2.400000,1.500000,0.000000,0.000000,1.764375
0.200000,3.378232,5.633031,2.700000,1.500000,0.000000,0.000000,1.794088
0.200000,3.300548,5.922697,3.000000,1.500000,0.000000,0.000000,1.882559
0.200000,3.187453,6.200195,3.300000,1.500000,0.000000,0.000000,2.047511
0.200000,3.019417,6.447747,3.600000,1.500000,0.000000,0.000000,2.300257
0.200000,2.795261,6.641307,3.900000,1.500000,0.000000,0.000000,2.502511
0.200000,2.549341,6.813053,4.200000,1.500000,0.000000,0.000000,2.561917
0.200000,2.293426,6.969509,4.500000,1.500000,0.000000,0.000000,2.624256
0.200000,2.028090,7.109384,4.800000,1.500000,0.000000,0.000000,2.688998
0.200000,1.754150,7.231548,5.100000,1.500000,0.000000,0.000000,2.755442
0.200000,1.472652,7.335110,5.400000,1.500000,0.000000,0.000000,2.822757
0.200000,1.184821,7.419485,5.700000,1.500000,0.000000,0.000000,2.890040
0.200000,0.891992,7.484434,6.000000,1.500000,0.000000,0.000000,2.956392
0.200000,0.596011,7.530008,6.299521,1.495215,-0.023925,-0.119627,3.020887
0.200000,0.335639,7.554388,6.561064,1.120215,-1.875000,-9.255373,3.075231
0.200000,0.149318,7.563254,6.747607,0.745215,-1.875000,0.000000,3.112657
0.200000,0.037795,7.565261,6.859150,0.370215,-1.875000,0.000000,3.134457
0.200000,0.000774,7.565393,6.896172,0.000000,-1.851075,0.119627,3.141593
0.200000,0.000774,7.565393,6.896172,0.000000,0.000000,9.255373,3.141593
