dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.887697,4.138017,0.037500,0.375000,1.875000,9.375000,3.129839
0.200000,4.790308,4.141324,0.134945,0.487225,0.561125,-6.569376,3.084247
0.200000,4.634023,4.157185,0.292032,0.785437,1.491062,4.649686,2.992254
0.200000,4.433879,4.203904,0.497557,1.027624,1.210933,-1.400644,2.820368
0.200000,4.242827,4.295271,0.709333,1.058876,0.156262,-5.273355,2.554923
0.200000,4.093524,4.430637,0.910865,1.007662,-0.256074,-2.061678,2.258814
0.200000,3.977065,4.617280,1.130861,1.099981,0.461596,3.588346,2.017997
0.200000,3.888620,4.850486,1.380275,1.247071,0.735449,1.369268,1.865437
0.200000,3.821044,5.115869,1.654127,1.369259,0.610940,-0.622546,1.786415
0.200000,3.762847,5.402746,1.946847,1.463603,0.471722,-0.696093,1.764375
0.200000,3.700039,5.706106,2.256641,1.548969,0.426830,-0.224458,1.794088
0.200000,3.614640,6.023920,2.585728,1.645436,0.482337,0.277534,1.882559
0.200000,3.480660,6.351620,2.939759,1.770155,0.623594,0.706286,2.047511
0.200000,3.265443,6.667682,3.322138,1.911894,0.708696,0.425512,2.300257
0.200000,2.992092,6.906179,3.684908,1.813847,-0.490236,-5.994663,2.502511
0.200000,2.730099,7.089144,4.004465,1.597785,-1.080309,-2.950362,2.561917
0.200000,2.456633,7.256325,4.324985,1.602600,0.024076,5.521922,2.624256
0.200000,2.172399,7.406158,4.646293,1.606542,0.019710,-0.021827,2.688998
0.200000,1.878436,7.537249,4.968160,1.609336,0.013969,-0.028708,2.755442
0.200000,1.576095,7.648478,5.290314,1.610766,0.007148,-0.034101,2.822757
0.200000,1.266961,7.739099,5.612456,1.610714,-0.000260,-0.037040,2.890040
0.200000,0.952760,7.808790,5.934293,1.609185,-0.007646,-0.036930,2.956392
0.200000,0.635747,7.857607,6.255042,1.603745,-0.027196,-0.097753,3.020887
0.200000,0.357522,7.883661,6.534485,1.397211,-1.032670,-5.027370,3.075231
0.200000,0.158865,7.893116,6.733367,0.994410,-2.014009,-4.906696,3.112657
0.200000,0.040150,7.895253,6.852101,0.593672,-2.003685,0.051620,3.134457
0.200000,0.000774,7.895393,6.891477,0.196882,-1.983954,0.098656,3.141593
0.200000,0.000774,7.895393,6.891477,0.000000,-0.984408,4.997732,3.141593
